"twitter account","LABEL","Valid","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"wakingtimes","propaganda","Yes","Where Evolution and Revolution Unite. Online magazine covering holistic health, mindfulness, consciousness, science, mystery, the Shift, and the matrix.",15497,6726,92,287,"http://t.co/z8c9K7RUQA","Waking Times","2012-01-26T18:15:43Z","FALSE","FALSE","WakingTimes","The Cosmos","en",475119104,157,"FALSE","http://pbs.twimg.com/profile_images/629701691462451200/MzOk_XPx_normal.png"
"washingtonsblog","propaganda","Yes","Washington’s Blog strives to provide real-time, well-researched and actionable information.",3508,1650,0,0,"http://t.co/DimKipx0NP","Washington","2011-02-01T06:39:37Z","FALSE","FALSE","WashingtonsBlog",,"en",245676411,142,"FALSE","http://pbs.twimg.com/profile_images/1231514593/WashingtonsBlog_normal.jpg"
"weeklyworldnews","satire","Yes","BatBoy Lives",3816,3153,154,1206,"https://t.co/Q4YWVOE1SI","Weekly World News","2008-09-19T20:43:44Z","FALSE","FALSE","weeklyworldnews","The World","en",16369964,102,"FALSE","http://pbs.twimg.com/profile_images/844732462093750273/Ep5Kvdvg_normal.jpg"
"wikileaks","propaganda","Yes","We open governments. Contact: https://t.co/676V6mG02v  PGP: A04C 5E09 ED02 B328 03EB 6116 93ED 732E 

@WLArtForce @WLTaskForce @WikiLeaksShop",46626,4649107,35,7580,"https://t.co/maw0wih6t6","WikiLeaks","2008-10-04T06:41:05Z","FALSE","TRUE","wikileaks","Everywhere","en",16589206,56476,"FALSE","http://pbs.twimg.com/profile_images/512138307870785536/Fe00yVS2_normal.png"
"wikispooks","propaganda","Yes","A collaborative project,  building a comprehensive reference source of deep political structures and  events, together with connected people and organisations",3102,590,20,65,"http://t.co/pM57tSnFWp","wikispooks","2010-08-29T16:02:17Z","FALSE","FALSE","wikispooks","Dublin","en",184452449,37,"FALSE","http://pbs.twimg.com/profile_images/494128275560468480/-3ER3o15_normal.png"
"worldtruthtv","propaganda","Yes","“Signs and symbols rule the world, not words nor laws.” -Confucius.... If you want to know the real truth about this world you came to the right place.",131875,11328,10,2,"http://t.co/UL12yGbua9","WorldTruth.TV","2009-02-16T21:48:01Z","FALSE","FALSE","WorldTruthTV","N.Y.C","en",21032566,387,"FALSE","http://pbs.twimg.com/profile_images/581569867247017985/9hD88aef_normal.jpg"
"wuwmag","propaganda","Yes",,3984,66,4,160,"http://t.co/VNqugpSSfB","Waking Up Wisconsin","2015-03-11T04:45:36Z","FALSE","FALSE","WUWmag","Wisconsin","en",3085665323,2,"FALSE","http://pbs.twimg.com/profile_images/588514135366701056/FYUHsABN_normal.jpg"
"yournewswire","clickbait","Yes","Reporting balanced news and programs challenging mainstream media coverage of world events.",12761,16806,18537,5962,"https://t.co/6ABIiLzshb","Your News Wire","2013-07-02T23:33:07Z","FALSE","FALSE","yournewswire",,"en",1564327968,211,"FALSE","http://pbs.twimg.com/profile_images/780257431817334785/nucYh-P6_normal.jpg"
"yvessmith","propaganda","Yes",,14819,21793,4,301,"http://t.co/p2hGKeCEgo","Yves Smith","2009-06-15T17:19:07Z","FALSE","FALSE","yvessmith","New York, NY","en",47387039,1423,"FALSE","http://pbs.twimg.com/profile_images/1316923712/Screen_shot_2011-04-16_at_1.04.58_AM_normal.png"
"zerohedge","propaganda","Yes",,281661,409604,0,688,"http://t.co/VnB2R3phwV","zerohedge","2009-01-11T04:08:58Z","FALSE","FALSE","zerohedge",,"en",18856867,13698,"FALSE","http://pbs.twimg.com/profile_images/72647502/tyler_normal.jpg"
