_id,user_id,account_id,submittedTime,currentTimeString,responses,verifyRadios,socialRadios,tweetRateRadios,fairnessRadios,entityRadios,fearRadios,opiniatedRadios,accounts-importance,network-importance,tweets-importance,geo-importance,entity-importance,confidence,commentBox
596cd6377713f63319846b66,TC-1,71,1500304973295,2017-07-17T15:22:53.295Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '4'}, {'name': 'network-importance', 'value': '6'}, {'name': 'tweets-importance', 'value': '3'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '5'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",fake,0,0,0,1,1,1,4,6,3,1,5,6,
596cd63c7713f63319846b6c,TC-2,56,1500304976858,2017-07-17T15:22:56.858Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '-1'}, {'name': 'fearRadios', 'value': '-1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '5'}, {'name': 'network-importance', 'value': '4'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '2'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",real,0,0,1,-1,-1,0,5,4,7,2,4,6,
596cd6cf7713f63319846c4e,TC-2,59,1500305123375,2017-07-17T15:25:23.375Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '5'}, {'name': 'network-importance', 'value': '6'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '2'}, {'name': 'entity-importance', 'value': '6'}, {'name': 'confidence', 'value': '7'}, {'name': 'commentBox', 'value': ''}]",fake,1,1,0,1,1,1,5,6,7,2,6,7,
596cd7327713f63319846cbc,TC-1,83,1500305224149,2017-07-17T15:27:04.149Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '6'}, {'name': 'network-importance', 'value': '6'}, {'name': 'tweets-importance', 'value': '2'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '3'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': 'Showed too much anger for me to classify as real'}]",fake,1,1,1,1,0,1,6,6,2,1,3,6,Showed too much anger for me to classify as real
596cd7b77713f63319846d03,TC-2,71,1500305355403,2017-07-17T15:29:15.403Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '4'}, {'name': 'network-importance', 'value': '7'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '3'}, {'name': 'entity-importance', 'value': '4'}, {'name': 'confidence', 'value': '4'}, {'name': 'commentBox', 'value': 'This account was only associated with another account on the social network view, which was deemed as fake. That fake news account was only associated with real news accounts and the accounts of political figures'}]",fake,0,0,0,0,0,1,4,7,6,3,4,4,"This account was only associated with another account on the social network view, which was deemed as fake. That fake news account was only associated with real news accounts and the accounts of political figures"
596cd8877713f63319846d7f,TC-2,83,1500305563712,2017-07-17T15:32:43.712Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '4'}, {'name': 'network-importance', 'value': '5'}, {'name': 'tweets-importance', 'value': '7'}, {'name': 'geo-importance', 'value': '2'}, {'name': 'entity-importance', 'value': '6'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",real,1,0,1,0,0,0,4,5,7,2,6,6,
596ce6977713f633198470d5,TD-1,02,1500309164662,2017-07-17T16:32:44.662Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '6'}, {'name': 'network-importance', 'value': '2'}, {'name': 'tweets-importance', 'value': '1'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '2'}, {'name': 'confidence', 'value': '4'}, {'name': 'commentBox', 'value': ''}]",real,1,0,1,0,1,1,6,2,1,1,2,4,
596ce70e7713f63319847127,TD-1,04,1500309284241,2017-07-17T16:34:44.241Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '1'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '0'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '7'}, {'name': 'network-importance', 'value': '1'}, {'name': 'tweets-importance', 'value': '6'}, {'name': 'geo-importance', 'value': '1'}, {'name': 'entity-importance', 'value': '2'}, {'name': 'confidence', 'value': '7'}, {'name': 'commentBox', 'value': ''}]",fake,1,1,0,0,0,1,7,1,6,1,2,7,
596ce78d7713f63319847223,TD-2,02,1500309409432,2017-07-17T16:36:49.432Z,"[{'name': 'verifyRadios', 'value': 'real'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '0'}, {'name': 'fairnessRadios', 'value': '1'}, {'name': 'entityRadios', 'value': '0'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '0'}, {'name': 'accounts-importance', 'value': '3'}, {'name': 'network-importance', 'value': '5'}, {'name': 'tweets-importance', 'value': '5'}, {'name': 'geo-importance', 'value': '6'}, {'name': 'entity-importance', 'value': '7'}, {'name': 'confidence', 'value': '3'}, {'name': 'commentBox', 'value': ''}]",real,0,0,1,0,1,0,3,5,5,6,7,3,
596ce7b57713f6331984726b,TD-1,39,1500309451708,2017-07-17T16:37:31.708Z,"[{'name': 'verifyRadios', 'value': 'fake'}, {'name': 'socialRadios', 'value': '0'}, {'name': 'tweetRateRadios', 'value': '1'}, {'name': 'fairnessRadios', 'value': '0'}, {'name': 'entityRadios', 'value': '1'}, {'name': 'fearRadios', 'value': '1'}, {'name': 'opiniatedRadios', 'value': '1'}, {'name': 'accounts-importance', 'value': '5'}, {'name': 'network-importance', 'value': '3'}, {'name': 'tweets-importance', 'value': '5'}, {'name': 'geo-importance', 'value': '2'}, {'name': 'entity-importance', 'value': '3'}, {'name': 'confidence', 'value': '6'}, {'name': 'commentBox', 'value': ''}]",fake,0,1,0,1,1,1,5,3,5,2,3,6,
